bus_id,stop_name,latitude
bus-no1,Wankaner-Panchasar,"22.5808,70.7748"
bus-no1,Wankaner-Jadeshwar Chamber,"22.5754,70.7824"
bus-no1,Wankaner-Patel Wadi (Highway),"22.5751,70.7890"
bus-no1,Wankaner - Highway Jakatnaka,"22.5725,70.7912"
bus-no1,MU Campus,"22.3677,70.7972"
bus-no2,"Kalawad - Trikoniya,","22.4693,70.1258"
bus-no2,Kalawad - Bus Stand,"22.4704,70.1290"
bus-no2,Kalawad - Metoda,"22.4800,70.1364"
bus-no2,Kalawad - Khirasara,"22.4855,70.1389"
bus-no2,MU Campus,"22.3677,70.7972"
bus-no3,Morbi - Kenal (Umiya Circle),"22.8114,70.8420"
bus-no3,Morbi - Bhaktinagar Circle,"22.8070,70.8381"
bus-no3,Lajai Chowk,"22.8089,70.8334"
bus-no3,Mitana,"22.8150,70.8285"
bus-no3,Harbatiyali,"22.8201,70.8245"
bus-no3,Gauridad,"22.8259,70.8194"
bus-no3,MU Campus,"22.3677,70.7972"
bus-no4,Wankaner - Rati devdi,"22.5775,70.7789"
bus-no4,Wankaner - Market Chowk,"22.5745,70.7841"
bus-no4,Wankaner - Danapith,"22.5741,70.7867"
bus-no4,Wankaner - Jinpara Chowk,"22.5722,70.7877"
bus-no4,Wankaner - Amarser Fatak,"22.5702,70.7901"
bus-no4,MU Campus,"22.3677,70.7972"
bus-no5,Laxminagar PGVCL,"22.3016,70.7704"
bus-no5,Laxminagar Road Start,"22.3021,70.7716"
bus-no5,Atithi Appartment,"22.3033,70.7741"
bus-no5,Panchvati Hall,"22.3046,70.7764"
bus-no5,Patel Bhel,"22.3062,70.7780"
bus-no5,Sukh Sagar Chowk,"22.3077,70.7797"
bus-no5,Swaminarayan Temple,"22.3092,70.7822"
bus-no5,Modi School,"22.3083,70.7825"
bus-no5,MU Campus,"22.3677,70.7972"
